year,total
1950,90
1951,84
1952,88
1953,112
1954,101
1955,76
1956,98
1957,90
1958,70
1959,71
1960,73
1961,77
1962,96
1963,66
1964,105
1965,82
1966,63
1967,80
1968,79
1969,89
1970,104
1971,111
1972,79
1973,115
1974,97
1975,102
1976,107
1977,64
1978,92
1979,86
1980,100
1981,113
1982,73
1983,93
1984,88
1985,96
1986,109
1987,78
1988,76
1989,70
1990,83
1991,104
1992,98
1993,102
1994,85
1995,72
1996,79
1997,59
1998,68
1999,87
2000,71
2001,76
2002,36
2003,61
2004,88
2005,96
2006,80
2007,82
2008,73
2009,77
2010,82
2011,63
2012,90
2013,83
2014,54
2015,83
2016,75
2017,82
2018,67
2019,81
2020,59
2021,72
2022,70
2023,76
2024,49
2025,60
2026,28
