year,total
1950,0
1951,0
1952,0
1953,1
1954,4
1955,0
1956,0
1957,1
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,1
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,1
1980,1
1981,1
1982,0
1983,2
1984,0
1985,1
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,1
1993,1
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,1
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,1
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
