fecha,dias,precipitacion_anual
1951,19,123
1952,34,123
1953,44,123
1954,37,123
1955,33,123
1956,43,123
1957,34,123
1958,18,123
1959,17,123
1960,14,123
1961,18,123
1962,33,123
1963,48,123
1964,45,123
1965,28,123
1966,17,123
1967,33,123
1968,16,123
1969,34,123
1970,26,123
1971,33,123
1972,21,123
1973,35,123
1974,24,123
1975,21,123
1976,28,123
1977,08,123
1978,16,123
1979,26,123
1980,24,123
1981,24,123
1982,07,123
1983,38,123
1984,12,123
1985,40,123
1986,08,123
1987,18,123
1988,20,123
1989,18,123
1990,25,123
1991,25,123
1992,29,123
1993,22,123
1994,11,123
1995,16,123
1996,12,123
1997,08,123
1998,26,123
1999,28,123
2000,23,123
2001,22,123
2002,10,123
2003,20,123
2004,12,123
2005,47,123
2006,28,123
2007,19,123
2008,15,123
2009,17,123
2010,32,123
2011,16,123
2012,23,123
2013,25,123
2014,07,123
2015,12,123
2016,07,123
2017,10,123
