year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,1
1961,0
1962,0
1963,0
1964,0
1965,2
1966,2
1967,0
1968,1
1969,2
1970,3
1971,0
1972,0
1973,0
1974,1
1975,1
1976,0
1977,0
1978,0
1979,1
1980,1
1981,3
1982,3
1983,0
1984,0
1985,1
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,1
1996,0
1997,0
1998,0
1999,0
2000,0
2001,2
2002,0
2003,7
2004,0
2005,0
2006,0
2007,1
2008,0
2009,0
2010,0
2011,0
2012,2
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,1
2021,0
2022,3
2023,2
2024,2
