year,total
1950,75
1951,37
1952,61
1953,54
1954,25
1955,54
1956,40
1957,42
1958,57
1959,53
1960,53
1961,54
1962,68
1963,45
1964,64
1965,44
1966,50
1967,50
1968,54
1969,37
1970,68
1971,65
1972,30
1973,51
1974,57
1975,53
1976,24
1977,1
1978,12
1979,29
1980,27
1981,12
1982,38
1983,34
1984,11
1985,40
1986,41
1987,46
1988,36
1989,63
1990,71
1991,64
1992,50
1993,38
1994,64
1995,47
1996,40
1997,51
1998,64
1999,65
2000,57
2001,70
2002,66
2003,89
2004,81
2005,71
2006,79
2007,64
2008,77
2009,81
2010,68
2011,78
2012,75
2013,62
2014,79
2015,73
2016,72
2017,70
2018,92
